16377,16418,#sing#,
,,,
16419,16461,#sin#,
,,,
16462,16501,#pin#,
,,,
16502,16540,#din#,
,,,
16542,16579,#bin#,
,,,
16580,16618,#dung#,
,,,
16619,16655,#pack#,
,,,
16656,16698,#kin#,
,,,
16699,16734,#pus#,
,,,
16735,16771,#name#,
,,,
16773,16817,#win#,
,,,
16818,16855,#tin#,
,,,
16856,16896,#thin#,
,,,
16897,16940,#shin#,
,,,
16941,16985,#gin#,
,,,
16986,17027,#chin#,
,,,
17028,17070,#fin#,
,,,
17071,17119,#lin#,
,,,
17120,17158,#sip#,
,,,
17159,17200,#tip#,
,,,
17201,17240,#sit#,
,,,
17241,17281,#hit#,
,,,
17282,17320,#sick#,
,,,
17321,17356,#lick#,
,,,
17358,17381,#pick#,
,,,
17382,17421,#thick,#
,,,
17422,17461,#tick#,
,,,
17462,17499,#nick#,
,,,
17500,17533,#hick#,
,,,
17534,17571,#chick,#
,,,
17572,17616,#Rick#,
,,,
17617,17656,#wick#,
,,,
17657,17699,#kick#,
,,,
17700,17740,#fit#,
,,,
17741,17777,#pit#,
,,,
17778,17818,#tig#,
,,,
17819,17852,#fib#,
,,,
17853,17892,#fizz#,
,,,
17893,17938,#bit#,
,,,
17939,17974,#bet#,
,,,
17975,18015,#bait#,
,,,
18016,18053,#pip#,
,,,
18054,18100,#wit#,
,,,
18101,18137,#kit#,
,,,
18138,18181,#kith#,
,,,
18182,18221,#kid#,
,,,
18222,18264,#lid#,
,,,
18265,18315,#guide,#
,,,
18316,18348,#quid#,
,,,
18349,18395,#rid#,
,,,
18396,18432,#mid#,
,,,
18433,18469,#hid#,
,,,
18470,18510,#bid#,
,,,
18511,18550,#king#,
,,,
18551,18584,#kiss#,
,,,
18585,18624,#rig#,
,,,
18625,18661,#wig#,
,,,
18662,18699,#jig#,
,,,
18700,18736,#pig#,
,,,
18737,18776,#big#,
,,,
18777,18820,#fig#,
,,,
18821,18859,#tick#,
,,,
18860,18892,#dip#,
,,,
18893,18932,#rip#,
,,,
18933,18971,#lip#,
,,,
18972,19009,#hip#,
,,,
19010,19043,#zip#,
,,,
19044,19078,#chip#,
,,,
19079,19120,#ship#,
,,,
19121,19158,#gyp#,
,,,
19159,19201,#dim#,
,,,
19202,19242,#ditch,#
,,,
19243,19280,#dish#,
,,,
19281,19313,#fin#,
,,,
19314,19346,#dig#,
,,,
19347,19377,#did#,
,,,
19378,19420,#dill#,
,,,
19421,19455,#sill#,
,,,
19456,19489,#till#,
,,,
19490,19525,#pill#,
,,,
19526,19566,#shill,#
,,,
19567,19599,#bill#,
,,,
19600,19639,#hill#,
,,,
19640,19674,#fill#,
,,,
19675,19720,#will#,
,,,
19721,19757,#kill#,
,,,
19758,19796,#till#,
,,,
19797,19831,#look#,
,,,
19832,19874,#cook#,
,,,
19875,19908,#nook#,
,,,
19909,19952,#shook,#
,,,
19953,19985,#took#,
,,,
19986,20015,#hook#,
,,,
20016,20059,#book#,
,,,
20060,20097,#mop#,
,,,
20098,20128,#top#,
,,,
20129,20163,#lop#,
,,,
20164,20204,#bop#,
,,,
20205,20249,#shop#,
,,,
20250,20281,#hop#,
,,,
20282,20318,#chop#,
,,,
20319,20353,#cop#,
,,,
20354,20384,#hop#,
,,,
20385,20420,#pop#,
,,,
20421,20463,#rust#,
,,,
20464,20502,#lust#,
,,,
20503,20538,#just#,
,,,
20539,20576,#dust#,
,,,
20577,20615,#must#,
,,,
20616,20655,#gust#,
,,,
20656,20697,#bust#,
,,,
20698,20734,#gun#,
,,,
20735,20770,#run#,
,,,
20771,20805,#pun#,
,,,
20806,20837,#Hun#,
,,,
20838,20877,#shun#,
,,,
20878,20915,#bun#,
,,,
20916,20955,#nun#,
,,,
20956,20992,#sun#,
,,,
20993,21026,#fun#,
,,,
21027,21071,#sub#,
,,,
21072,21113,#sung#,
,,,
21114,21155,#sop#,
,,,
21156,21199,#suck#,
,,,
21200,21238,#such#,
,,,
21239,21277,#sud#,
,,,
21278,21317,#sup#,
,,,
21318,21340,#bum#,
,,,
21341,21392,#sum#,
,,,
21393,21452,#putt#,
,,,
21453,21490,#pick#,
,,,
21491,21536,#puck#,
,,,
21537,21575,#pub#,
,,,
21576,21617,#pup#,
,,,
21618,21664,#puff#,
,,,
21665,21702,#pun#,
,,,
21703,21740,#pug#,
,,,
21741,21784,#dub#,
,,,
21785,21823,#dun#,
,,,
21824,21858,#dud#,
,,,
21859,21897,#dull#,
,,,
21898,21937,#duck#,
,,,
21938,21979,#dug#,
,,,
21980,22018,#bus#,
,,,
22019,22053,#buff#,
,,,
22054,22094,#bun#,
,,,
22095,22134,#buck#,
,,,
22135,22172,#but#,
,,,
22173,22214,#buzz#,
,,,
22216,22245,#boot#,
,,,
22246,22280,#Bert#,
,,,
22281,22319,#boat#,
,,,
22320,22356,#bug#,
,,,
22357,22398,#cuff#,
,,,
22399,22433,#cud#,
,,,
22434,22469,#cup#,
,,,
22470,22510,#cub#,
,,,
22511,22553,#cut#,
,,,
22554,22588,#cuss#,
,,,
22589,22623,#hot#,
,,,
22624,22662,#tot#,
,,,
22663,22701,#lot#,
,,,
22702,22747,#not#,
,,,
22748,22782,#got#,
,,,
22783,22819,#pot#,
,,,
22820,22859,#sot#,
,,,
22860,22896,#shot#,
,,,
22897,22934,#jot#,
,,,
22935,22972,#yacht,#
,,,
22973,23016,#healt,h#
,,,
23017,23057,#heave,#
,,,
23058,23095,#heal#,
,,,
23096,23132,#heat#,
,,,
23133,23178,#heath,#
,,,
23179,23217,#hear#,
,,,
23218,23252,#heap#,
,,,
23253,23293,#jeep#,
,,,
23294,23332,#cheap,#
,,,
23333,23370,#sheep,#
,,,
23371,23411,#seep#,
,,,
23412,23455,#peace,#
,,,
23456,23497,#peach,#
,,,
23498,23540,#peal#,
,,,
23541,23580,#peak#,
,,,
23581,23617,#peat#,
,,,
23618,23661,#peas#,
,,,
23662,23708,#team#,
,,,
23709,23746,#tease,#
,,,
23747,23789,#teach,#
,,,
23790,23826,#teak#,
,,,
23827,23869,#tear#,
,,,
23870,23909,#teal#,
,,,
23910,23959,#beach,#
,,,
23960,23995,#bean#,
,,,
23996,24039,#bead#,
,,,
24040,24076,#beat#,
,,,
24077,24130,#beak#,
,,,
24131,24164,#beam#,
,,,
24176,24210,#tear#,
,,,
24211,24259,#keel#,
,,,
24260,24294,#reel#,
,,,
24295,24329,#feel#,
,,,
24330,24364,#peel#,
,,,
24365,24403,#eel#,
,,,
24404,24441,#heel#,
,,,
24442,24490,#seat#,
,,,
24491,24527,#meat#,
,,,
24528,24566,#feat#,
,,,
24567,24602,#beat#,
,,,
24603,24640,#heat#,
,,,
24641,24679,#neat#,
,,,
24680,24722,#sheet,#
,,,
24723,24762,#seep#,
,,,
24763,24808,#seem#,
,,,
24809,24848,#seen#,
,,,
24849,24894,#seat#,
,,,
24895,24923,#seed#,
,,,
24924,24972,#seeth,e#
,,,
24973,25012,#seek#,
,,,
25013,25052,#raw#,
,,,
25053,25093,#paw#,
,,,
25094,25133,#jaw#,
,,,
25134,25173,#saw#,
,,,
25174,25217,#thaw#,
,,,
25218,25256,#law#,
,,,
25257,25297,#rake#,
,,,
25298,25334,#Jake#,
,,,
25335,25369,#shake,#
,,,
25370,25411,#ray#,
,,,
25412,25451,#rave#,
,,,
25452,25491,#raze#,
,,,
25492,25530,#race#,
,,,
25531,25568,#rate#,
,,,
25569,25611,#came#,
,,,
25612,25645,#same#,
,,,
